open,16012,8800,4450,600,600,600,550,600,600,600,1650,600,600,600,600,550,600,600,600,600,1600,650,600,550,600,600,1650,600,600,600,600,600,550,600,600,600,600,550,600,600,600,600,600,550,600,600,1650,600,600,600,600,550,600,600,600,600,550,600,600,600,1650,600,600,600,1650,600,600,600,550,600,1700,550,600,600,19700,600,550,600,600,600,600,550,600,600,600,600,550,600,600,600,600,600,550,600,600,600,600,600,550,600,600,600,1650,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,600,600,550,600,600,600,600,600,550,600,600,600,1650,600,550,650,1650,600,1650,600
close,8850,4400,600,600,600,550,650,1600,650,550,600,600,600,550,650,550,600,600,600,550,650,1600,650,1600,650,1650,600,550,650,550,600,550,650,550,650,550,600,550,650,550,600,600,600,550,650,1600,650,550,600,600,600,550,650,550,600,550,650,550,650,1600,650,550,600,1650,600,600,600,550,650,1600,650,550,600,19650,650,550,600,600,600,550,650,550,600,550,650,550,600,600,600,550,650,550,600,550,650,550,650,550,600,550,650,1650,600,550,650,550,600,550,650,550,600,600,600,550,650,550,600,600,600,550,650,500,650,550,650,550,600,600,600,550,650,550,600,1650,600,1650,650,1600,650,
+,8800,4400,650,550,650,500,650,1650,650,1600,650,500,650,550,650,550,650,500,650,550,600,1650,600,1650,650,1600,650,550,600,600,650,500,650,550,600,550,650,550,600,600,600,550,650,550,600,1650,650,550,600,550,650,550,600,600,600,550,650,550,600,1650,600,600,600,1650,600,550,600,600,600,1650,650,550,600,19650,600,600,600,550,650,550,600,600,600,550,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,1650,600,600,600,600,550,600,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,600,600,550,600,600,600,600,600,1650,600,1650,600,600,600,
-,8850,4400,600,550,650,600,600,1600,650,1650,600,1650,650,500,650,550,650,500,650,550,650,1650,600,1650,600,1650,650,550,600,550,650,550,600,600,600,550,650,500,650,550,650,550,650,500,650,1600,650,600,600,550,650,550,600,600,600,550,650,500,650,1650,600,600,600,1650,600,550,650,550,600,1650,650,550,600,19650,650,550,600,550,650,550,650,500,650,550,650,550,600,600,600,550,650,550,600,600,600,550,650,550,600,550,650,1650,600,550,650,550,600,500,700,550,650,550,600,550,650,550,600,550,650,550,600,600,600,550,650,550,600,550,650,550,600,600,600,1650,600,1650,600,600,600,20106

风速1档,8800,4400,650,550,600,550,650,1650,600,1650,600,1650,600,600,600,550,650,550,600,1650,600,600,600,1650,600,1650,600,550,600,600,600,600,600,550,600,600,600,600,600,550,600,600,600,550,600,1700,600,550,600,600,600,550,600,600,600,600,600,550,600,1700,600,550,600,1650,600,600,600,600,600,1600,650,550,600,19700,600,550,600,600,600,550,600,600,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,600,600,1650,600,550,600,600,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,650,550,600,550,650,550,600,600,600,1650,600,550,600,1700,600,550,600,
风速自动,8800,4400,600,600,600,600,600,1650,600,1600,650,600,550,600,600,600,600,550,600,1700,600,550,600,1650,600,1600,650,600,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,1650,600,600,600,600,550,600,600,600,600,550,600,600,600,1650,600,600,600,1650,600,600,550,600,600,1650,600,600,550,19700,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,600,600,550,600,600,600,600,550,600,600,1650,600,600,600,600,550,600,600,600,600,600,550,600,600,600,600,550,600,600,600,600,600,550,600,600,550,650,550,600,600,1650,600,600,600,1650,600,600,600,
风速2档,8800,4400,650,500,650,600,600,1600,650,1650,600,1650,650,500,650,550,650,550,600,1650,650,500,650,1600,650,1600,650,600,600,550,650,500,650,550,650,550,600,550,650,550,650,500,650,600,600,1600,650,550,600,550,650,600,600,550,600,600,600,550,600,1700,600,550,600,1650,600,550,650,550,650,1650,600,550,600,19650,650,550,600,550,650,550,650,550,600,550,650,550,600,600,600,600,600,550,600,550,650,550,650,550,600,600,600,1600,650,550,650,550,600,550,650,550,600,550,650,600,600,550,600,550,650,600,600,550,600,550,650,550,600,550,650,600,600,1650,600,550,600,1650,650,550,600,
风速3档,8800,4400,650,550,600,600,600,1650,600,1650,600,1650,600,1650,650,550,600,550,650,1650,600,550,650,1600,650,1650,600,550,650,500,650,550,650,550,650,550,600,550,650,550,600,550,650,550,650,1600,650,550,600,600,600,550,650,500,650,550,650,500,650,1650,600,600,600,1600,650,550,650,550,600,1650,600,600,600,19650,600,550,650,600,550,600,600,550,650,550,600,600,600,600,600,550,600,600,600,600,550,600,600,550,650,550,600,1650,600,600,600,600,600,550,600,600,600,550,650,550,600,600,600,550,600,600,600,600,600,550,600,600,600,550,650,500,650,1650,600,600,600,1650,600,550,650,

